Code,Score
S11610104102504,866
S11610104102505,927
S11610104102506,1025
S11610104102507,1055
S11610104102508,1020
S11610104102509,1014
S11610104102510,1059
S11610104102511,1042
S11610104102512,1029
S11610104102513,984
S11610104102514,882
S11610104102516,1005
S11610104102517,1013
S11610104102518,1088
S11610104102519,1037
S11610104102520,989
S11610104102521,1002
S11610104102522,1067
S11610104102523,1057
S11610104102524,1036
S11610104102525,979
S11610104102526,1046
S11610104102527,1019
S11610104102528,924
S11610104102529,914
S11610104102530,1017
S11610104102532,890
S11610104102601,962
S11610104102602,976
S11610104102603,1042
S11610104102604,976
S11610104102605,972
S11610104102606,1064
S11610104102607,943
S11610104102608,964
S11610104102609,905
S11610104102610,838
S11610104102611,1015
S11610104102612,899
S11610104102613,971
S11610104102614,988
S11610104102615,1017
S11610104102616,1060
S11610104102617,961
S11610104102618,1046
S11610104102619,1032
S11610104102620,837
S11610104102621,902
S11610104102622,1005
S11610104102623,881
S11610104102701,948
S11610104102702,878
S11610104102703,1045
S11610104102704,904
S11610104102705,962
S11610104102706,925
S11610104102707,932
S11610104102708,967
S11610104102709,995
S11610104102710,1029
S11610104102712,999
S11610104102713,1021
S11610104102715,NA
S11610104102717,978
S11610104102718,939
S11610104102719,916
S11610104102720,1026
S11610104102721,974
S11610104102722,606
S11610104102723,995
S11610104102724,986
S11610104102725,944
S11610104102726,1035
S11610104102727,1001
S11610104102728,834
S11610104102729,916
S11610105153901,1075
S11610105153902,932
S11610105153903,955
S11610105153904,910
S11610105153905,907
S11610105153906,954
S11610105153908,1052
S11610105153909,820
S11610105153910,809
S11610105153911,1048
S11610105153912,997
S11610105153913,936
S11610105153914,1028
S11610105153915,900
S11610105153916,1053
S11610105153917,938
S11610105153918,831
S11610105153919,911
S11610105153920,1016
S11610105153921,996
S11610105153922,1072
S11610105153923,991
S11610105153924,763
S11610105153925,951
S11610105153926,854
S11610105153927,1055
S11610105153928,1011
S11610105153929,945
S11610105153930,1075
S11610105153931,894
S11610105153932,966
S11610105153933,945
S11610105153934,913
S11610105153935,938
S11610105153936,983
S11610105153937,736
S11610105153938,969
S11610105153939,888
S11610105153940,838
S11610105153941,991
S11610105153942,897
S11610105153943,1006
S11610105153944,961
S11610105153945,883
S11610105153946,1037
S11610105153947,948
S11610105153948,861
S11610105153949,876
S11610105153950,1011
S11610105153951,987
S11610105153952,1044
S11610105153953,930
S11610105153954,759
S11610105153955,1123
S11610105153956,893
S11610105153957,901
S11610105153959,928
S11610105153960,940
S11610105153961,930
S11610105153962,1031
S11610105153963,654
S11610105153964,1003
S11610105153966,1061
S11610105154001,906
S11610105154002,958
S11610105154003,975
S11610105154004,1030
S11610105154005,1017
S11610105154006,998
S11610105154007,1045
S11610105154008,1022
S11610105154009,978
S11610105154010,956
S11610105154011,967
S11610105154012,951
S11610105154013,1080
S11610105154014,1040
S11610105154015,1035
S11610105154016,1070
S11610105154017,1059
S11610105154018,993
S11610105154019,981
S11610105154020,1005
S11610105154021,1041
S11610105154022,993
S11610105154023,1007
S11610105154024,902
S11610105154025,1019
S11610105154026,1004
S11610105154027,1013
S11610105154028,999
S11610105154029,1022
S11610105154030,935
S11610105154031,948
S11610105154032,976
S11610105154033,1003
S11610106154101,1060
S11610106154102,979
S11610106154103,945
S11610106154104,979
S11610106154105,994
S11610106154106,1025
S11610106154107,1002
S11610106154108,1040
S11610106154109,1029
S11610106154110,1091
S11610106154111,974
S11610106154112,981
S11610106154113,998
S11610106154114,1115
S11610106154201,1055
S11610106154202,1021
S11610106154203,1033
S11610106154204,1020
S11610106154205,1084
S11610106154206,1026
S11610106154207,1018
S11610106154208,1110
S11610106154209,1089
S11610106154210,1089
S11610106154211,1115
S11610106154212,970
S11610106154213,1103
S11610106154214,1061
S11610106154216,1122
S11610106154217,1141
S11610106154218,1016
S11610106154219,961
S11610106154220,946
S11610106154221,1113
S11610106154222,1122
S11610106154223,1119
S11610106154224,1090
S11610106154225,1115
S11610106154226,1122
S11610106154227,1141
S11610106154228,1087
S11610106154229,1028
S11610106154230,1100
S11610106154231,1109
S11610106154232,1143
S11610106154233,1143
S11610106154234,1136
S11610106154235,1119
S11610106154301,862
S11610106154302,877
S11610106154303,975
S11610106154304,881
S11610106154305,883
S11610106154306,1030
S11610106154307,738
S11610106154308,765
S11610106154309,1019
S11610106154310,1049
S11610106154311,788
S11610106154312,854
S11610106154313,847
S11610106154314,924
S11610106154315,965
S11610106154316,977
S11610106154317,1070
S11610106154318,791
S11610106154319,861
S11610106154321,1052
S11610106154322,1028
S11610106154323,1013
S11610106154324,983
S11610106154325,1040
S11610106154326,1044
S11610106154327,827
S11610106154328,1031
S11610106154329,1010
S11610106154330,967
S11610106154401,999
S11610106154402,1001
S11610106154403,977
S11610106154404,1027
S11610106154405,944
S11610106154406,1045
S11610106154407,872
S11610106154408,964
S11610106154409,942
S11610106154410,903
S11610106154411,1051
S11610106154412,984
S11610106154413,798
S11610106154414,999
S11610106154415,966
S11610106154416,859
S11610106154417,918
S11610106154418,1061
S11610106154419,982
S11610106154420,967
S11610106154421,884
S11610201102802,1087
S11610201102803,1070
S11610201102804,1065
S11610201102805,1069
S11610201102806,1025
S11610201102807,1082
S11610201102808,1116
S11610201102809,1102
S11610201102810,1075
S11610201102811,1059
S11610201102812,1076
S11610201102813,1033
S11610201102814,1053
S11610201102815,1077
S11610201102816,1112
S11610201102817,1115
S11610201102818,1100
S11610201102901,1096
S11610201102902,1062
S11610201102903,1032
S11610201102904,1020
S11610201102905,1061
S11610201102906,1106
S11610201102907,1052
S11610201102908,1062
S11610201102909,1085
S11610201102910,1033
S11610201102911,1054
S11610201102912,1089
S11610201102913,1110
S11610201102914,1099
S11610201102915,1097
S11610201102916,1054
S11610201102917,1104
S11610201102918,1060
S11610201102919,968
S11610201102922,1088
S11610201102923,1052
S11610201102924,1108
S11610201102925,999
S11610201102926,1075
S11610201102927,1079
S11610201102928,900
S11610201103002,1063
S11610201103003,1026
S11610201103004,1017
S11610201103005,1047
S11610201103006,1055
S11610201103007,1052
S11610201103008,1049
S11610201103009,986
S11610201103010,979
S11610201103011,955
S11610201103012,1067
S11610201103014,1065
S11610201103101,1111
S11610201103102,1055
S11610201103103,955
S11610201103104,843
S11610201103105,1040
S11610201103106,948
S11610201103108,1091
S11610201103109,1095
S11610201103110,1019
S11610201103111,1033
S11610201103112,1141
S11610201103113,1128
S11610201103114,1110
S11610201103115,1123
S11610201103116,1091
S11610201103117,1063
S11610201103118,1127
S11610201103119,1098
S11610201103120,1075
S11610201103121,1062
S11610201103122,1037
S11610201103123,878
S11610201103124,1068
S11610201103125,989
S11610201103126,756
S11610201103127,1037
S11610201103128,1024
S11610201103129,1089
S11610201103130,1066
S11610201103131,885
S11610201103133,1085
S11610201103134,1042
S11610201103135,1065
S11610201103136,999
S11610201103137,729
S11610201103138,1028
S11610201103201,1015
S11610201103202,850
S11610201103203,1069
S11610201103204,908
S11610201103205,918
S11610201103206,899
S11610201103207,1048
S11610201103208,970
S11610201103210,867
S11610201103211,980
S11610201103212,994
S11610201103213,1077
S11610201103214,1032
S11610201103215,989
S11610201103216,1038
S11610201103217,1006
S11610201103218,1074
S11610201103219,1051
S11610201103220,1040
S11610201103221,989
S11610201103224,963
S11610201103225,1057
S11610201103226,942
S11610201103227,765
S11610201103228,905
S11610201103229,936
S11610201103230,938
S11610201103231,977
S11610201103232,955
S11610201103233,1061
S11610201103234,1050
S11610201103235,904
S11610201103236,872
S11610201103237,955
S11610201103238,1112
S11610201103239,1030
S11610201103240,908
S11610201103241,965
S11610201103242,894
S11610201103243,1086
S11610201103244,916
S11610201103245,954
S11610201103246,1085
S11610201103247,1118
S11610201103248,951
S11610201103301,1067
S11610201103302,1011
S11610201103303,1034
S11610201103304,1057
S11610201103305,1060
S11610201103306,1047
S11610201103307,985
S11610201103308,1036
S11610201103310,1052
S11610201103311,1039
S11610201103312,1070
S11610201103313,1061
S11610201103314,1032
S11610201103315,1055
S11610201103317,1015
S11610201103318,1026
S11610201103319,1031
S11610201103401,984
S11610201103402,1000
S11610201103403,970
S11610201103404,1001
S11610201103405,980
S11610201103406,972
S11610201103407,1113
S11610201103408,1057
S11610201103409,1053
S11610201103410,992
S11610201103411,1073
S11610201103412,992
S11610201103413,1100
S11610201103414,933
S11610201103415,934
S11610201103416,1008
S11610201103417,953
S11610201103418,856
S11610201103419,1039
S11610201103501,1058
S11610201103502,921
S11610201103503,1048
S11610201103504,1028
S11610201103505,1073
S11610201103506,1075
S11610201103507,964
S11610201103508,1100
S11610201103509,1026
S11610201103510,1018
S11610201103511,1063
S11610201103512,975
S11610201103513,1036
S11610201103514,973
S11610201103515,919
S11610201103516,937
S11610201103517,1092
S11610201103601,1095
S11610201103602,1100
S11610201103603,1041
S11610201103604,1071
S11610201103605,1077
S11610201103606,1012
S11610201103607,1119
S11610201103608,1048
S11610201103609,1118
S11610201103610,971
S11610201103611,1021
S11610201103612,826
S11610201103613,1043
S11610201103614,1019
S11610201103615,1013
S11610201103616,1072
S11610201103617,1088
S11610201103618,1103
S11610201103619,1004
S11610201103620,956
S11610201103621,1081
S11610201103622,1047
S11610201103701,1016
S11610201103702,1061
S11610201103703,1029
S11610201103704,1030
S11610201103705,1052
S11610201103706,1030
S11610201103707,1068
S11610201103708,1054
S11610201103709,1055
S11610201103710,1082
S11610201103711,995
S11610201103712,1035
S11610201103713,970
S11610201103714,1040
S11610201103801,1097
S11610201103802,1066
S11610201103803,1013
S11610201103804,990
S11610201103805,1079
S11610201103806,980
S11610201103807,1016
S11610201103808,979
S11610201103809,1050
S11610201103810,1094
S11610201103811,1054
S11610201103812,1088
S11610201103813,1061
S11610201103814,1051
S11610201103815,1081
S11610201103816,1055
S11610201103817,1030
S11610201103901,1104
S11610201103902,1089
S11610201103903,1055
S11610201103904,1067
S11610201103905,1093
S11610201103906,1032
S11610201103908,1100
S11610201103909,1057
S11610201103911,1063
S11610201103912,1051
S11610201103913,1081
S11610201103914,1111
S11610201103915,1095
S11610201103916,1073
S11610201103917,1057
S11610201103918,1098
S11610201103919,962
S11610201103920,1059
S11610201103921,1089
S11610201103922,1107
S11610201103923,1101
S11610201103924,772
S11610201103925,1106
S11610201103926,1113
S11610201103927,1069
S11610201103928,1032
S11610201103929,1087
S11610201103930,1070
S11610201103931,1078
S11610201104001,965
S11610201104002,945
S11610201104003,1066
S11610201104004,1011
S11610201104005,1068
S11610201104006,1001
S11610201104007,966
S11610201104009,926
S11610201104010,883
S11610201104011,965
S11610201104012,1007
S11610201104013,996
S11610201104014,850
S11610201104015,978
S11610201104016,1049
S11610201104017,893
S11610201104018,928
S11610201104019,911
S11610201104020,892
S11610201104021,880
S11610201104022,849
S11610201104023,916
S11610201104024,966
S11610201104025,958
S11610201104026,939
S11610201104027,888
S11610201104028,1037
S11610201104029,925
S11610201104030,876
S11610201104031,888
S11610201104032,953
S11610201104033,945
S11610201104034,991
S11610201104035,979
S11610201104036,1010
S11610201104037,942
S11610201104038,935
S11610201104039,965
S11610201104040,975
S11610201104041,934
S11610201104042,884
S11610201104043,965
S11610201104044,972
S11610201104045,934
S11610201104046,945
S11610201104047,964
S11610201104048,961
S11610201104049,956
S11610201104050,949
S11610201104051,995
S11610201104052,1028
S11610201104053,945
S11610201104054,1069
S11610201104055,1038
S11610201104056,1073
S11610201104057,1080
S11610201104058,1030
S11610201104101,1078
S11610201104102,1082
S11610201104103,1068
S11610201104104,1046
S11610201104105,1108
S11610201104106,1101
S11610201104107,1096
S11610201104109,1069
S11610201104110,1103
S11610201104111,1073
S11610201104112,1084
S11610201104113,1112
S11610201104114,1082
S11610201104115,1109
S11610201104116,1095
S11610201104117,1118
S11610201104119,1065
S11610201104120,1073
S11610201104121,1026
S11610201104122,1087
S11610201104123,1063
S11610201104124,1067
S11610201104125,1101
S11610201104201,927
S11610201104202,955
S11610201104203,957
S11610201104204,767
S11610201104205,890
S11610201104207,1078
S11610201104208,923
S11610201104209,1013
S11610201104210,1076
S11610201104211,1085
S11610201104213,947
S11610201104214,1062
S11610201104215,907
S11610201104216,982
S11610201104217,879
S11610201104218,929
S11610201104219,934
S11610201104220,936
S11610201104221,915
S11610201104222,989
S11610201104223,782
S11610201104224,948
S11610201104225,954
S11610201104226,991
S11610201104227,902
S11610201104228,955
S11610201104229,901
S11610201104230,909
S11610201104231,895
S11610201104232,920
S11610201104233,971
S11610201104301,847
S11610201104302,953
S11610201104303,955
S11610201104304,1007
S11610201104305,996
S11610201104307,1039
S11610201104308,989
S11610201104309,1020
S11610201104310,1003
S11610201104311,1003
S11610201104312,805
S11610201104313,543
S11610201104314,762
S11610201104315,1034
S11610201104316,946
S11610201104317,917
S11610201104318,966
S11610201104319,995
S11610201104320,976
S11610201104321,1081
S11610201104322,1034
S11610201104323,1008
S11610201104324,1059
S11610201104325,1017
S11610201104326,1032
S11610201104327,1059
S11610201104328,1037
S11610201104329,1012
S11610201104330,1007
S11610202104401,1001
S11610202104402,1019
S11610202104403,934
S11610202104404,1006
S11610202104405,1061
S11610202104406,1024
S11610202104407,1008
S11610202104408,1015
S11610202104409,894
S11610202104410,878
S11610202104411,930
S11610202104412,1048
S11610202104414,1028
S11610202104415,990
S11610202104416,968
S11610202104417,949
S11610202104419,1036
S11610202104420,1005
S11610202104421,938
S11610202104422,1012
S11610202104423,1043
S11610202104424,915
S11610202104425,1055
S11610202104426,1019
S11610202104427,1008
S11610202104428,970
S11610202104429,980
S11610202104430,1011
S11610202104431,1015
S11610202104432,988
S11610202104433,978
S11610202104434,937
S11610202104435,1094
S11610202104436,955
S11610202104437,1013
S11610202104438,1093
S11610202104439,1046
S11610202104441,958
S11610202104442,967
S11610202104443,934
S11610202104444,941
S11610202104445,807
S11610202104446,628
S11610202104447,811
S11610202104448,925
S11610202104449,995
S11610202104450,1076
S11610202104451,1029
S11610202104452,1007
S11610202104453,943
S11610202104454,1046
S11610202104455,1000
S11610202104456,1079
S11610202104457,1063
S11610202104458,1045
S11610202104459,1064
S11610202104501,955
S11610202104502,950
S11610202104503,886
S11610202104504,960
S11610202104505,902
S11610202104506,900
S11610202104507,910
S11610202104508,860
S11610202104509,934
S11610202104510,901
S11610202104511,878
S11610202104512,902
S11610202104513,951
S11610202104514,994
S11610202104515,932
S11610202104516,866
S11610202104517,990
S11610202104518,1000
S11610202104519,902
S11610202104521,906
S11610202104522,936
S11610202104523,935
S11610202104524,911
S11610202104601,966
S11610202104602,941
S11610202104603,967
S11610202104604,956
S11610202104605,1004
S11610202104606,987
S11610202104607,942
S11610202104608,925
S11610202104609,940
S11610202104610,862
S11610202104611,900
S11610202104612,964
S11610202104614,947
S11610202104615,954
S11610202104616,915
S11610202104617,886
S11610202104618,978
S11610202104619,907
S11610202104620,904
S11610202104621,1007
S11610202104622,932
S11610202104623,NA
S11610202104624,966
S11610202104625,906
S11610202104701,1050
S11610202104702,1031
S11610202104703,1115
S11610202104704,988
S11610202104705,1015
S11610202104706,1023
S11610202104707,1004
S11610202104708,1036
S11610202104709,1020
S11610202104710,767
S11610202104711,900
S11610202104712,1094
S11610202104713,1045
S11610202104714,1123
S11610202104715,1042
S11610202104716,1034
S11610202104717,1091
S11610202104718,994
S11610202104719,991
S11610202104720,1086
S11610202104721,1066
S11610202104722,1011
S11610202104723,1091
S11610202104724,1080
S11610202104725,1014
S11610202104726,1005
S11610202104727,1008
S11610202104728,1018
S11610202104729,1007
S11610202104730,1039
S11610202104731,989
S11610202104732,955
S11610202104733,871
S11610202104734,1027
S11610202104735,990
S11610202104736,1038
S11610202104801,917
S11610202104802,1008
S11610202104803,953
S11610202104804,962
S11610202104805,986
S11610202104806,971
S11610202104807,1005
S11610202104808,887
S11610202104809,869
S11610202104810,898
S11610202104811,924
S11610202104812,906
S11610202104813,928
S11610202104814,913
S11610202104815,754
S11610202104816,939
S11610202104817,940
S11610202104818,911
S11610202104819,957
S11610202104820,917
S11610202104821,691
S11610202104822,956
S11610202104823,940
S11610202104824,926
S11610202104825,875
S11610202104826,934
S11610202104827,930
S11610202104828,936
S11610202104829,889
S11610202104830,815
S11610202104831,1010
S11610202104832,1017
S11610202104833,884
S11610202104834,908
S11610202104835,867
S11610202104836,910
S11610202104837,930
S11610202104838,991
S11610202104840,930
S11610202104841,970
S11610202104842,947
S11610202104843,827
S11610202104844,985
S11610202104845,871
S11610202104846,843
S11610202104847,961
S11610202104848,962
S11610202104901,1109
S11610202104902,1124
S11610202104903,1082
S11610202104904,1040
S11610202104905,1073
S11610202104906,1040
S11610202104907,1084
S11610202104908,1053
S11610202104910,1058
S11610202105001,980
S11610202105002,1001
S11610202105003,1010
S11610202105004,1044
S11610202105005,1023
S11610202105006,961
S11610202105007,957
S11610202105008,950
S11610202105009,991
S11610202105010,973
S11610202105011,948
S11610202105012,905
S11610202105013,939
S11610202105015,984
S11610202105017,880
S11610202105018,976
S11610202105019,1008
S11610202105020,884
S11610202105021,879
S11610202105022,960
S11610202105024,957
S11610202105025,919
S11610202105026,947
S11610202105027,932
S11610202105028,904
S11610202105101,1049
S11610202105102,1001
S11610202105103,974
S11610202105104,1119
S11610202105106,1066
S11610202105107,1103
S11610202105108,1087
S11610202105109,1019
S11610202105110,1080
S11610202105111,1031
S11610202105112,1027
S11610202105113,976
S11610202105114,1095
S11610202105115,1023
S11610202105116,1059
S11610202105201,954
S11610202105202,1035
S11610202105203,927
S11610202105204,986
S11610202105205,1006
S11610202105206,973
S11610202105207,933
S11610202105208,970
S11610202105209,969
S11610202105210,899
S11610202105213,952
S11610202105214,1023
S11610202105215,951
S11610202105216,970
S11610202105301,844
S11610202105302,823
S11610202105303,928
S11610202105304,951
S11610202105305,1049
S11610202105306,1069
S11610202105307,833
S11610202105308,916
S11610202105309,947
S11610202105310,961
S11610202105311,940
S11610202105312,1072
S11610202105313,948
S11610202105314,963
S11610202105315,999
S11610202105316,980
S11610202105317,899
S11610202105318,906
S11610202105319,962
S11610202105320,971
S11610202105321,954
S11610202105322,1087
S11610202105324,1029
S11610202105325,935
S11610202105326,995
S11610202105327,823
S11610202105328,868
S11610202105329,828
S11610202105330,888
S11610202105331,791
S11610202105332,893
S11610202105333,875
S11610202105334,849
S11610202105335,880
S11610202105336,1026
S11610202105337,979
S11610202105401,917
S11610202105402,885
S11610202105403,792
S11610202105404,704
S11610202105405,943
S11610202105406,821
S11610202105407,969
S11610202105408,984
S11610202105409,971
S11610202105410,916
S11610202105411,992
S11610202105412,1077
S11610202105413,1036
S11610202105414,1025
S11610202105417,944
S11610202105418,871
S11610202105419,838
S11610202105420,952
S11610202105421,984
S11610202105422,975
S11610202105423,958
S11610202105424,958
S11610202105501,988
S11610202105502,1000
S11610202105503,984
S11610202105505,1066
S11610202105506,958
S11610202105507,987
S11610202105508,971
S11610202105509,1086
S11610202105510,1038
S11610202105511,1062
S11610202105512,1055
S11610202105513,1053
S11610202105514,1054
S11610202105601,1042
S11610202105602,1038
S11610202105603,1034
S11610202105604,998
S11610202105605,1031
S11610202105606,1056
S11610202105607,1040
S11610202105608,1037
S11610202105609,953
S11610202105612,997
S11610202105613,1035
S11610202105614,1023
S11610202105615,1006
S11610202105617,987
S11610202105618,1054
S11610202105620,1036
S11610202105622,1075
S11610202105623,1036
S11610202105624,967
S11610202105625,1003
S11610202105626,927
S11610202105627,949
S11610202105628,1057
S11610202105629,1007
S11610202105630,990
S11610202105631,1034
S11610202105632,796
S11610202105633,962
S11610202105701,1014
S11610202105702,931
S11610202105703,977
S11610202105704,944
S11610202105705,934
S11610202105706,818
S11610202105707,903
S11610202105708,958
S11610202105709,989
S11610202105710,697
S11610202105711,894
S11610202105712,748
S11610202105713,700
S11610202105714,935
S11610202105715,714
S11610202105716,840
S11610202105717,937
S11610202105718,972
S11610202105719,851
S11610202105720,988
S11610301105801,1097
S11610301105802,1076
S11610301105804,973
S11610301105805,898
S11610301105806,1119
S11610301105807,938
S11610301105808,741
S11610301105809,1097
S11610301105811,1061
S11610301105813,1025
S11610301105814,1054
S11610301105815,986
S11610301105816,1041
S11610301105817,952
S11610301105818,990
S11610301105819,947
S11610301105820,910
S11610301105821,926
S11610301105822,894
S11610301105823,921
S11610301105824,904
S11610301105825,897
S11610301105826,1030
S11610301105827,864
S11610301105828,952
S11610301105829,824
S11610301105830,889
S11610301105831,1017
S11610301105832,984
S11610301105833,728
S11610301105834,926
S11610301105835,1083
S11610301105836,796
S11610301105837,997
S11610301105838,1027
S11610301105839,1011
S11610301105840,1024
S11610301105842,1109
S11610301105843,824
S11610301105844,1032
S11610301105845,1019
S11610301105846,967
S11610301105847,987
S11610301105848,1010
S11610301105850,977
S11610301105851,768
S11610301105853,859
S11610301105854,921
S11610301105855,940
S11610301105856,993
S11610301105857,846
S11610301105859,1105
S11610301105860,1114
S11610301105861,1070
S11610301105862,1132
S11610301105863,1103
S11610301105864,1061
S11610301105901,976
S11610301105902,994
S11610301105903,1041
S11610301105905,658
S11610301105906,677
S11610301105907,776
S11610301105908,717
S11610301105910,1051
S11610301105912,916
S11610301105913,988
S11610301105914,880
S11610301105915,1020
S11610301105916,1118
S11610301105917,1077
S11610301105918,1053
S11610301105919,1021
S11610301105920,1015
S11610301105921,1085
S11610301105922,957
S11610301105923,985
S11610301105924,1001
S11610301105925,1072
S11610301105926,1052
S11610301105927,910
S11610301106001,1046
S11610301106002,1056
S11610301106003,988
S11610301106004,1034
S11610301106005,884
S11610301106006,1061
S11610301106007,947
