"code","1911","1912","1913","1914","1915","1920","1922","1923","1990","1991","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"S01009758","0","0","0","0","0","0","0","0","0","0","0","0","22","12","26","11","21","14","24","13","17","21","13","11","11","12","4","4","7","9","7","4","4","0"
"S01009759","0","0","0","0","0","0","0","0","0","0","0","0","57","79","57","45","94","43","56","46","63","68","34","59","55","37","35","29","18","10","18","23","28","9"
"S01009760","0","0","0","0","0","0","0","0","0","0","0","0","77","102","86","67","55","79","63","78","71","48","22","27","29","30","34","37","29","17","24","23","35","0"
"S01009761","0","0","0","0","0","0","0","0","0","0","0","0","25","33","31","26","33","30","34","35","27","18","15","15","25","38","17","13","5","8","6","10","10","0"
"S01009762","0","0","0","0","0","0","0","0","0","0","0","0","28","47","37","44","58","51","40","54","48","29","35","29","28","35","33","16","20","19","22","31","7","2"
"S01009763","0","0","0","0","0","0","0","0","0","0","0","0","6","2","14","9","6","12","8","11","8","19","32","15","12","31","9","8","7","7","4","9","6","0"
"S01009764","0","0","0","0","0","0","0","0","0","0","0","0","4","28","23","80","63","39","35","33","33","47","33","17","22","25","16","16","15","10","21","20","14","4"
"S01009765","0","0","0","0","0","0","0","0","0","0","0","0","27","53","82","69","72","54","40","43","46","43","21","22","24","32","19","28","12","15","22","7","22","7"
"S01009766","0","0","0","0","0","0","0","0","0","0","0","0","35","43","43","49","37","20","23","25","31","23","39","12","26","22","13","11","6","11","11","13","13","0"
"S01009767","0","0","0","0","0","0","0","0","0","0","0","0","97","102","119","105","152","114","120","69","103","124","105","85","80","83","61","54","69","71","78","113","92","24"
"S01009768","0","0","0","0","0","0","0","0","0","0","0","0","57","35","32","46","46","28","62","50","31","29","41","28","27","20","12","18","12","20","9","17","9","1"
"S01009769","0","0","0","0","0","0","0","0","0","0","0","0","86","79","60","67","60","55","59","36","46","53","54","40","49","100","58","51","48","40","48","60","43","8"
"S01009770","0","0","0","0","0","0","0","0","0","0","0","0","15","24","40","27","17","10","16","11","16","27","18","14","16","18","11","23","9","12","9","8","7","1"
"S01009771","0","0","0","0","0","0","0","0","0","0","0","0","19","23","33","20","73","23","12","19","19","27","14","10","18","22","8","16","5","12","13","13","6","2"
"S01009772","0","0","0","0","0","0","0","0","0","0","0","0","27","37","20","7","14","11","24","30","22","21","21","17","19","11","11","6","12","7","9","8","10","0"
"S01009773","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10","7","10","13","21","19","15","16","16","13","6","1","1"
"S01009774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","7","16","10","13","11","5","10","6","6","8","1"
"S01009775","0","0","0","0","0","0","0","0","0","0","0","0","262","238","341","220","194","133","135","148","85","169","355","392","444","523","347","360","332","326","365","384","374","78"
"S01009776","0","0","0","0","0","0","0","0","0","0","0","0","62","61","57","27","50","66","43","52","98","42","38","45","29","26","22","21","16","16","14","24","16","5"
"S01009777","0","0","0","0","0","0","0","0","0","0","0","0","40","42","30","23","38","28","31","26","35","31","38","31","28","35","15","14","27","12","21","9","18","2"
"S01009778","0","0","0","0","0","0","0","0","0","0","0","0","120","95","103","57","52","65","59","49","44","29","46","42","37","29","19","24","18","23","34","22","20","6"
"S01009779","0","0","0","0","0","0","0","0","0","0","0","0","118","93","118","73","57","53","45","70","61","38","71","53","42","49","27","23","15","21","22","19","15","5"
"S01009780","0","0","0","0","0","0","0","0","0","0","0","0","61","72","62","91","99","53","76","97","58","46","24","47","53","22","21","31","22","15","23","14","24","9"
"S01009781","0","0","0","0","0","0","0","0","0","0","0","0","56","59","46","20","28","35","51","65","36","23","24","17","36","38","28","23","25","13","14","8","2","4"
"S01009782","0","0","0","0","0","0","0","0","0","0","0","0","41","26","50","72","60","37","35","55","47","76","26","37","29","24","18","36","32","25","18","25","21","1"
"S01009783","0","0","0","0","0","0","0","0","0","0","0","0","36","64","61","24","24","45","52","62","52","64","43","37","39","23","27","26","47","15","9","21","9","4"
"S01009784","0","0","0","0","0","0","0","0","0","0","0","0","117","94","147","75","66","49","24","52","43","37","46","39","38","38","15","31","24","23","26","16","20","7"
"S01009785","0","0","0","0","0","0","0","0","0","0","0","0","135","113","135","94","90","74","72","60","68","43","51","50","75","45","19","35","28","28","35","18","27","2"
"S01009786","0","0","0","0","0","0","0","0","0","0","0","0","41","51","61","50","50","53","49","52","44","70","50","57","51","44","18","43","26","20","35","50","24","3"
"S01009787","0","0","0","0","0","0","0","0","0","0","0","0","78","100","93","56","44","41","38","59","36","35","45","55","31","42","45","35","27","30","31","33","23","6"
"S01009788","0","0","0","0","0","0","0","0","0","0","0","0","55","37","45","30","16","32","26","28","20","32","39","22","30","27","18","14","18","16","20","21","10","9"
"S01009789","0","0","0","0","0","0","0","0","0","0","0","0","43","48","67","69","41","47","52","41","45","46","27","42","32","29","22","23","18","20","35","27","19","2"
"S01009790","0","0","0","0","0","0","0","0","0","0","0","0","30","32","27","29","28","24","22","26","19","20","24","36","22","17","12","11","7","10","18","6","4","1"
"S01009791","0","0","0","0","0","0","0","0","0","0","0","0","48","56","73","77","41","35","64","37","52","38","39","43","29","30","19","18","36","27","44","33","14","1"
"S01009792","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","8","16","4","16","20","21","12","13","18","23","11","17","21","29","14","11","2"
"S01009793","0","0","0","0","0","0","0","0","0","0","0","0","41","37","50","24","19","29","33","22","17","25","30","6","31","28","32","15","11","9","17","14","15","6"
"S01009794","0","0","0","0","0","0","0","0","0","0","0","0","0","1","25","12","25","23","41","8","22","21","36","14","17","28","38","25","19","17","14","12","10","5"
"S01009795","0","0","0","0","0","0","0","0","0","0","0","0","6","21","19","8","13","19","30","9","22","23","37","18","12","15","12","10","4","18","11","17","6","0"
"S01009796","0","0","0","0","0","0","0","0","0","0","0","0","29","27","29","8","6","4","8","7","16","21","15","9","6","23","26","14","8","28","6","10","3","1"
"S01009797","0","0","0","0","0","0","0","0","0","0","0","0","39","96","58","32","46","36","52","31","27","64","34","30","57","44","36","26","25","18","20","26","22","8"
"S01009798","0","0","0","0","0","0","0","0","0","0","0","0","12","44","27","28","20","28","37","12","16","28","23","14","11","19","29","9","5","17","8","19","5","0"
"S01009799","0","0","0","0","0","0","0","0","0","0","0","0","54","52","67","50","48","43","76","69","57","56","56","72","44","46","24","33","20","25","28","42","45","16"
"S01009800","0","0","0","0","0","0","0","0","0","0","0","0","65","68","82","65","110","53","114","87","88","57","64","66","61","46","23","39","22","16","22","24","21","3"
"S01009801","0","0","0","0","0","0","0","0","0","0","0","0","32","51","40","43","48","25","38","54","31","46","31","31","22","21","28","29","14","12","15","17","23","5"
"S01009802","0","0","0","0","0","0","0","0","0","0","0","0","18","32","38","67","69","30","54","24","38","39","36","33","27","31","33","23","17","17","25","18","22","2"
"S01009803","0","0","0","0","0","0","0","0","0","0","0","0","51","53","50","42","74","53","58","33","54","38","35","38","33","20","29","19","20","23","34","20","13","0"
"S01009804","0","0","0","0","0","0","0","0","0","0","0","0","35","52","22","30","36","19","33","15","27","25","9","19","14","18","28","8","27","28","22","15","16","1"
"S01009805","0","0","0","0","0","0","0","0","0","0","0","0","77","105","80","81","71","69","57","44","48","57","44","60","40","38","20","23","20","28","64","35","25","10"
"S01009806","0","0","0","0","0","0","0","0","0","0","0","0","126","114","123","178","142","98","95","109","145","155","123","109","72","47","92","79","70","60","60","60","56","26"
"S01009807","0","0","0","0","0","0","0","0","0","0","0","0","34","27","40","35","43","36","45","37","68","72","51","48","41","35","33","34","31","10","12","4","13","7"
"S01009808","0","0","0","0","0","0","0","0","0","0","0","0","110","66","57","82","67","55","86","56","79","60","75","75","64","55","51","34","27","18","20","15","18","5"
"S01009809","0","0","0","0","0","0","0","0","0","0","0","0","58","30","21","30","20","26","23","24","20","23","14","19","17","21","11","24","27","18","16","19","11","5"
"S01009810","0","0","0","0","0","0","0","0","0","0","0","0","19","14","24","28","32","29","30","39","44","15","19","30","18","22","35","20","16","15","24","21","19","5"
"S01009811","0","0","0","0","0","0","0","0","0","0","0","0","31","28","32","48","52","29","50","53","54","38","27","32","21","40","16","18","14","9","26","14","28","6"
"S01009812","0","0","0","0","0","0","0","0","0","0","0","0","30","35","25","25","27","18","23","31","38","23","17","22","10","19","7","17","9","9","15","11","18","1"
"S01009813","0","0","0","0","0","0","0","0","0","0","0","0","19","23","18","12","24","23","13","31","23","23","14","14","8","27","14","16","12","15","20","19","16","3"
"S01009814","0","0","0","0","0","0","0","0","0","0","0","0","63","87","72","62","64","61","53","38","75","89","54","59","49","40","49","45","51","21","30","28","46","9"
"S01009815","0","0","0","0","0","0","0","0","0","0","0","0","53","31","28","38","20","19","27","24","20","31","37","21","13","22","19","19","19","8","16","14","9","3"
"S01009816","0","0","0","0","0","0","0","0","0","0","0","0","57","28","50","42","29","24","39","30","36","44","24","26","13","17","15","16","20","12","13","7","8","2"
"S01009817","0","0","0","0","0","0","0","0","0","0","0","0","43","32","31","30","18","32","27","23","19","14","5","17","15","28","21","12","17","19","22","12","17","4"
"S01009818","0","0","0","0","0","0","0","0","0","0","0","0","92","58","58","54","38","60","42","44","34","34","28","56","55","53","61","41","35","28","14","9","12","8"
"S01009819","0","0","0","0","0","0","0","0","0","0","0","0","90","93","101","157","94","83","114","71","57","99","79","74","57","77","75","70","83","36","43","54","52","18"
"S01009820","0","0","0","0","0","0","0","0","0","0","0","0","84","91","76","124","74","59","96","95","64","59","87","96","84","90","86","71","57","42","66","46","43","9"
"S01009821","0","0","0","0","0","0","0","0","0","0","0","0","35","23","50","27","18","24","45","42","38","37","23","16","22","27","22","33","14","11","17","16","14","4"
"S01009822","0","0","0","0","0","0","0","0","0","0","0","0","22","12","33","17","10","12","20","8","15","18","20","12","16","9","5","5","5","0","6","2","4","1"
"S01009823","0","0","0","0","0","0","0","0","0","0","0","0","20","23","34","13","25","19","15","17","46","25","26","20","15","22","19","8","10","8","12","11","5","1"
"S01009824","0","0","0","0","0","0","0","0","0","0","0","0","40","47","54","34","29","13","22","29","22","12","36","22","14","11","12","7","13","11","9","11","10","1"
"S01009825","0","0","0","0","0","0","0","0","0","0","0","0","29","41","60","60","36","42","43","50","50","45","56","29","29","38","23","32","12","18","22","19","13","6"
"S01009826","0","0","0","0","0","0","0","0","0","0","0","0","42","42","53","41","24","26","23","21","38","26","35","24","10","16","25","12","9","18","35","9","16","2"
"S01009827","0","0","0","0","0","0","0","0","0","0","0","0","38","50","65","58","39","48","48","30","41","74","44","30","25","16","11","12","7","9","14","8","8","7"
"S01009828","0","0","0","0","0","0","0","0","0","0","0","0","16","27","19","19","12","26","24","19","14","21","37","30","15","20","8","11","8","7","10","12","6","0"
"S01009829","0","0","0","0","0","0","0","0","0","0","0","0","44","42","36","43","33","31","22","42","45","26","32","29","28","45","37","37","41","23","33","21","25","9"
"S01009830","0","0","0","0","0","0","0","0","0","0","0","0","19","23","14","24","32","33","43","31","38","25","11","29","11","21","11","15","8","4","18","17","17","1"
"S01009831","0","0","0","0","0","0","0","0","0","0","0","0","26","17","33","24","23","28","30","32","55","25","12","14","10","13","10","20","12","6","19","9","8","5"
"S01009832","0","0","0","0","0","0","0","0","0","0","0","0","55","83","66","59","56","46","46","53","61","60","65","59","48","79","73","46","29","37","28","38","25","24"
"S01009833","0","0","0","0","0","0","0","0","0","0","0","0","215","334","243","249","229","200","204","163","138","110","147","113","121","150","185","149","122","89","121","140","125","42"
"S01009834","0","0","0","0","0","0","0","0","0","0","0","0","75","55","39","35","57","83","47","36","29","25","21","38","17","18","19","17","16","18","14","15","14","3"
"S01009835","0","0","0","0","0","0","0","0","0","0","0","0","58","43","33","54","80","82","37","31","26","16","35","50","19","37","18","11","23","11","17","7","11","8"
"S01009836","0","0","0","0","0","0","0","0","0","0","0","0","34","26","13","22","25","13","15","19","19","28","30","42","8","15","21","21","13","10","32","17","14","1"
"S01009837","0","0","0","0","0","0","0","0","0","0","0","0","63","37","224","282","64","46","54","33","59","29","53","38","31","20","30","24","15","14","10","11","11","3"
"S01009838","0","0","0","0","0","0","0","0","0","0","0","0","63","59","59","78","67","74","58","64","43","62","62","66","36","68","44","66","40","29","28","42","36","8"
"S01009839","0","0","0","0","0","0","0","0","0","0","0","0","44","81","52","53","66","61","62","74","50","54","72","116","84","57","55","68","78","40","40","32","31","9"
"S01009840","0","0","0","0","0","0","0","0","0","0","0","0","88","62","60","82","81","74","45","33","51","44","81","70","47","38","26","26","23","17","21","13","14","2"
"S01009841","0","0","0","0","0","0","0","0","0","0","0","0","52","64","48","44","87","52","46","47","26","22","42","35","25","30","25","25","30","13","14","17","13","4"
"S01009842","0","0","0","0","0","0","0","0","0","0","0","0","132","114","117","100","93","97","127","70","66","86","91","67","45","68","69","46","49","36","34","38","27","7"
"S01009843","0","0","0","0","0","0","0","0","0","0","0","0","336","277","332","270","287","269","334","248","238","204","194","217","191","225","200","194","160","151","157","123","173","32"
"S01009844","0","0","0","0","0","0","0","0","0","0","0","0","83","144","96","165","140","98","89","96","67","82","82","85","91","65","63","78","65","69","61","54","72","15"
"S01009845","0","0","0","0","0","0","0","0","0","0","0","0","66","55","64","81","98","83","71","62","70","76","83","66","51","55","54","57","76","42","42","35","36","7"
"S01009846","0","0","0","0","0","0","0","0","0","0","0","0","87","70","67","103","97","110","82","80","63","63","60","60","49","44","37","42","43","29","32","24","35","7"
"S01009847","0","0","0","0","0","0","0","0","0","0","0","0","91","71","74","110","100","86","66","68","40","55","72","78","57","66","46","54","42","42","16","24","28","7"
"S01009848","0","0","0","0","0","0","0","0","0","0","0","0","129","66","70","87","88","70","72","46","51","36","74","43","49","55","47","32","37","39","33","31","40","16"
"S01009849","0","0","0","0","0","0","0","0","0","0","0","0","38","33","29","45","49","101","34","23","27","31","19","36","18","29","21","21","12","16","27","11","15","1"
"S01009850","0","0","0","0","0","0","0","0","0","0","0","0","52","38","51","77","56","53","30","43","22","33","31","33","14","21","20","24","28","11","16","13","15","4"
"S01009851","0","0","0","0","0","0","0","0","0","0","0","0","93","69","80","101","79","70","72","90","52","46","41","46","33","56","28","59","43","16","22","46","58","5"
"S01009852","0","0","0","0","0","0","0","0","0","0","0","0","32","40","75","104","79","85","100","67","66","82","49","44","34","40","45","71","69","40","41","44","50","5"
"S01009853","0","0","0","0","0","0","0","0","0","0","0","0","52","35","42","41","52","30","34","12","50","35","40","24","18","14","29","14","12","13","25","9","9","1"
"S01009854","0","0","0","0","0","0","0","0","0","0","0","0","48","36","35","21","33","16","19","23","21","40","41","19","10","23","21","18","19","11","7","11","9","2"
"S01009855","0","0","0","0","0","0","0","0","0","0","0","0","25","12","34","27","30","20","26","20","14","15","9","10","11","5","9","11","11","2","3","4","2","0"
"S01009856","0","0","0","0","0","0","0","0","0","0","0","0","29","25","13","20","9","21","26","14","18","22","28","8","18","14","8","10","14","9","9","13","8","2"
"S01009857","0","0","0","0","0","0","0","0","0","0","0","0","32","32","45","38","33","31","29","33","28","25","24","20","25","24","19","20","28","12","18","13","10","5"
"S01009858","0","0","0","0","0","0","0","0","0","0","0","0","20","13","27","42","19","39","20","19","24","23","15","17","17","20","12","21","14","13","9","9","11","2"
"S01009859","0","0","0","0","0","0","0","0","0","0","0","0","116","145","158","160","175","129","142","159","150","144","115","132","86","67","85","97","71","86","56","60","59","10"
"S01009860","0","0","0","0","0","0","0","0","0","0","0","0","116","236","200","243","222","195","196","182","163","163","183","122","83","98","148","116","135","109","102","118","120","34"
"S01009861","0","0","0","0","0","0","0","0","0","2","0","0","185","234","242","321","385","296","335","320","244","238","215","101","91","71","83","117","77","48","45","56","77","7"
"S01009862","0","0","0","0","0","0","0","0","0","0","0","0","181","174","183","188","223","174","187","151","154","170","190","125","85","114","109","114","109","67","81","80","90","17"
"S01009863","0","0","0","0","0","0","0","0","0","0","0","0","47","62","72","78","81","61","83","87","66","67","69","58","44","59","36","63","43","31","36","38","35","12"
