Scotland,p2011
S00089411,98
S00089412,190
S00089413,188
S00089414,63
S00089415,97
S00089416,151
S00089417,133
S00089418,149
S00089419,118
S00089420,142
S00089421,171
S00089422,88
S00089423,163
S00089424,144
S00089425,183
S00089426,189
S00089427,79
S00089428,83
S00089429,135
S00089430,126
S00089431,138
S00089432,61
S00089433,74
S00089434,80
S00089435,120
S00089436,117
S00089437,142
S00089438,154
S00089439,112
S00089440,59
S00089441,83
S00089442,106
S00089443,63
S00089444,132
S00089445,145
S00089446,109
S00089447,92
S00089448,104
S00089449,141
S00089450,94
S00089451,91
S00089452,99
S00089453,110
S00089454,76
S00089455,93
S00089456,128
S00089457,85
S00089458,79
S00089459,61
S00089460,84
S00089461,104
S00089462,87
S00089463,132
S00089464,133
S00089465,84
S00089466,98
S00089467,82
S00089468,68
S00089469,114
S00089470,72
S00089471,73
S00089472,83
S00089473,94
S00089474,129
S00089475,70
S00089476,59
S00089477,104
S00089478,100
S00089479,71
S00089480,68
S00089481,123
S00089482,72
S00089483,87
S00089484,109
S00089485,68
S00089486,101
S00089487,80
S00089488,122
S00089489,131
S00089490,250
S00089491,109
S00089492,71
S00089493,74
S00089494,74
S00089495,69
S00089496,68
S00089497,213
S00089498,124
S00089499,71
S00089500,91
S00089501,146
S00089502,135
S00089503,62
S00089504,59
S00089505,64
S00089506,88
S00089507,93
S00089508,107
S00089509,51
S00089510,128
S00089511,88
S00089512,58
S00089513,126
S00089514,103
S00089515,268
S00089516,107
S00089517,73
S00089518,171
S00089519,118
S00089520,91
S00089521,131
S00089522,116
S00089523,101
S00089524,99
S00089525,78
S00089526,109
S00089527,107
S00089528,91
S00089529,118
S00089530,67
S00089531,82
S00089532,110
S00089533,79
S00089534,120
S00089535,86
S00089536,114
S00089537,76
S00089538,88
S00089539,79
S00089540,97
S00089541,96
S00089542,124
S00089543,80
S00089544,102
S00089545,62
S00089546,107
S00089547,143
S00089548,161
S00089549,98
S00089550,101
S00089551,76
S00089552,77
S00089553,101
S00089554,69
S00089555,141
S00089556,80
S00089557,138
S00089558,125
S00089559,154
S00089560,78
S00089561,101
S00089562,111
S00089563,76
S00089564,98
S00089565,147
S00089566,140
S00089567,174
S00089568,177
S00089569,111
S00089570,137
S00089571,150
S00089572,76
S00089573,103
S00089574,80
S00089575,72
S00089576,126
S00089577,89
S00089578,109
S00089579,88
S00089580,109
S00089581,89
S00089582,120
S00089583,134
S00089584,66
S00089585,131
S00089586,108
S00089587,69
S00089588,88
S00089589,87
S00089590,107
S00089591,120
S00089592,95
S00089593,120
S00089594,82
S00089595,143
S00089596,100
S00089597,128
S00089598,58
S00089599,130
S00089600,53
S00089601,71
S00089602,123
S00089603,91
S00089604,75
S00089605,139
S00089606,125
S00089607,148
S00089608,61
S00089609,105
S00089610,134
S00089611,85
S00089612,93
S00089613,62
S00089614,175
S00089615,122
S00089616,125
S00089617,156
S00089618,118
S00089619,132
S00089620,153
S00089621,51
S00089622,84
S00089623,104
S00089624,75
S00089625,112
S00089626,157
S00089627,70
S00089628,112
S00089629,169
S00089630,107
S00089631,115
S00089632,111
S00089633,409
S00089634,105
S00089635,60
S00089636,124
S00089637,60
S00089638,101
S00089639,94
S00089640,122
S00089641,61
S00089642,68
S00089643,132
S00089644,181
S00089645,160
S00089646,131
S00089647,148
S00089648,66
S00089649,107
S00089650,134
S00089651,400
S00089652,145
S00089653,114
S00089654,103
S00089655,84
S00089656,85
S00089657,73
S00089658,121
S00089659,218
S00089660,129
S00089661,126
S00089662,95
S00089663,117
S00089664,68
S00089665,102
S00089666,90
S00089667,60
S00089668,89
S00089669,134
S00089670,74
S00089671,316
S00089672,116
S00089673,100
S00089674,138
S00089675,136
S00089676,70
S00089677,120
S00089678,69
S00089679,138
S00089680,118
S00089681,145
S00089682,64
S00089683,78
S00089684,77
S00089685,120
S00089686,63
S00089687,80
S00089688,99
S00089689,58
S00089690,151
S00089691,135
S00089692,59
S00089693,65
S00089694,116
S00089695,118
S00089696,138
S00089697,86
S00089698,103
S00089699,74
S00089700,120
S00089701,85
S00089702,73
S00089703,145
S00089704,115
S00089705,112
S00089706,136
S00089707,97
S00089708,57
S00089709,93
S00089710,132
S00089711,139
S00089712,113
S00089713,105
S00089714,154
S00089715,103
S00089716,128
S00089717,128
S00089718,168
S00089719,189
S00089720,167
S00089721,179
S00089722,95
S00089723,58
S00089724,86
S00089725,96
S00089726,121
S00089727,100
S00089728,92
S00089729,148
S00089730,78
S00089731,113
S00089732,158
S00089733,100
S00089734,94
S00089735,75
S00089736,84
S00089737,86
S00089738,71
S00089739,91
S00089740,124
S00089741,109
S00089742,172
S00089743,164
S00089744,81
S00089745,130
S00089746,121
S00089747,100
S00089748,115
S00089749,62
S00089750,103
S00089751,110
S00089752,108
S00089753,136
S00089754,124
S00089755,65
S00089756,77
S00089757,122
S00089758,112
S00089759,172
S00089760,80
S00089761,59
S00089762,119
S00089763,108
S00089764,131
S00089765,141
S00089766,104
S00089767,64
S00089768,62
S00089769,57
S00089770,102
S00089771,94
S00089772,93
S00089773,108
S00089774,82
S00089775,73
S00089776,94
S00089777,91
S00089778,139
S00089779,92
S00089780,70
S00089781,89
S00089782,71
S00089783,79
S00089784,59
S00089785,153
S00089786,102
S00089787,81
S00089788,68
S00089789,115
S00089790,282
S00089791,66
S00089792,73
S00089793,77
S00089794,71
S00089795,152
S00089796,121
S00089797,90
S00089798,97
S00089799,141
S00089800,107
S00089801,83
S00089802,182
S00089803,83
S00089804,124
S00089805,73
S00089806,113
S00089807,81
S00089808,82
S00089809,92
S00089810,66
S00089811,77
S00089812,98
S00089813,168
S00089814,69
S00089815,94
S00089816,124
S00089817,124
S00089818,93
S00089819,174
S00089820,124
S00089821,114
S00089822,105
S00089823,104
S00089824,166
S00089825,147
S00089826,114
S00089827,126
S00089828,73
S00089829,93
S00089830,124
S00089831,114
S00089832,87
S00089833,145
S00089834,92
S00089835,90
S00089836,166
S00089837,154
S00089838,142
S00089839,87
S00089840,85
S00089841,131
S00089842,82
S00089843,141
S00089844,113
S00089845,137
S00089846,86
S00089847,82
S00089848,123
S00089849,134
S00089850,149
S00089851,82
S00089852,97
S00089853,130
S00089854,95
S00089855,132
S00089856,152
S00089857,116
S00089858,87
S00089859,116
S00089860,102
S00089861,85
S00089862,121
S00089863,158
S00089864,170
S00089865,137
S00089866,81
S00089867,116
