Scotland,p2011
S00098282,67
S00098283,62
S00098284,75
S00098285,64
S00098286,75
S00098287,151
S00098288,104
S00098289,149
S00098290,98
S00098291,80
S00098292,172
S00098293,95
S00098294,95
S00098295,108
S00098296,166
S00098297,120
S00098298,135
S00098299,160
S00098300,146
S00098301,84
S00098302,150
S00098303,124
S00098304,98
S00098305,174
S00098306,113
S00098307,76
S00098308,63
S00098309,151
S00098310,88
S00098311,73
S00098312,131
S00098313,50
S00098314,78
S00098315,127
S00098316,101
S00098317,52
S00098318,61
S00098319,163
S00098320,115
S00098321,80
S00098322,117
S00098323,163
S00098324,67
S00098325,109
S00098326,67
S00098327,108
S00098328,97
S00098329,72
S00098330,115
S00098331,102
S00098332,88
S00098333,65
S00098334,112
S00098335,165
S00098336,61
S00098337,57
S00098338,111
S00098339,107
S00098340,131
S00098341,88
S00098342,148
S00098343,69
S00098344,86
S00098345,78
S00098346,96
S00098347,144
S00098348,62
S00098349,125
S00098350,126
S00098351,155
S00098352,189
S00098353,120
S00098354,84
S00098355,112
S00098356,69
S00098357,78
S00098358,85
S00098359,81
S00098360,149
S00098361,54
S00098362,149
S00098363,136
S00098364,90
S00098365,56
S00098366,96
S00098367,118
S00098368,74
S00098369,98
S00098370,146
S00098371,85
S00098372,111
S00098373,62
S00098374,67
S00098375,98
S00098376,104
S00098377,131
S00098378,199
S00098379,102
S00098380,176
S00098381,170
S00098382,130
S00098383,168
S00098384,130
S00098385,95
S00098386,119
S00098387,88
S00098388,109
S00098389,85
S00098390,164
S00098391,61
S00098392,67
S00098393,129
S00098394,112
S00098395,115
S00098396,106
S00098397,86
S00098398,128
S00098399,70
S00098400,139
S00098401,89
S00098402,190
S00098403,88
S00098404,65
S00098405,109
S00098406,159
S00098407,98
S00098408,107
S00098409,134
S00098410,138
S00098411,72
S00098412,154
S00098413,77
S00098414,130
S00098415,88
S00098416,111
S00098417,137
S00098418,101
S00098419,118
S00098420,130
S00098421,122
S00098422,144
S00098423,111
S00098424,74
S00098425,111
S00098426,99
S00098427,136
S00098428,93
S00098429,71
S00098430,70
S00098431,122
S00098432,104
S00098433,141
S00098434,148
S00098435,68
S00098436,84
S00098437,242
S00098438,106
S00098439,87
S00098440,196
S00098441,165
S00098442,79
S00098443,172
S00098444,131
S00098445,139
S00098446,110
S00098447,161
S00098448,104
S00098449,103
S00098450,163
S00098451,123
S00098452,95
S00098453,107
S00098454,137
S00098455,91
S00098456,74
S00098457,155
S00098458,107
S00098459,105
S00098460,93
S00098461,168
S00098462,106
S00098463,145
S00098464,86
S00098465,65
S00098466,64
S00098467,72
S00098468,86
S00098469,61
S00098470,124
S00098471,56
S00098472,112
S00098473,121
S00098474,158
S00098475,86
S00098476,155
S00098477,84
S00098478,63
S00098479,108
S00098480,206
S00098481,65
S00098482,238
S00098483,88
S00098484,138
S00098485,525
S00098486,59
S00098487,67
S00098488,137
S00098489,114
S00098490,132
S00098491,113
S00098492,89
S00098493,93
S00098494,124
S00098495,150
S00098496,99
S00098497,132
S00098498,56
S00098499,125
S00098500,155
S00098501,148
S00098502,117
S00098503,80
S00098504,146
S00098505,380
S00098506,158
S00098507,103
S00098508,144
S00098509,134
S00098510,63
S00098511,74
S00098512,91
S00098513,56
S00098514,82
S00098515,68
S00098516,60
S00098517,60
S00098518,66
S00098519,86
S00098520,105
S00098521,91
S00098522,121
S00098523,139
S00098524,133
S00098525,108
S00098526,136
S00098527,72
S00098528,51
S00098529,60
S00098530,92
S00098531,77
S00098532,168
S00098533,116
S00098534,120
S00098535,86
S00098536,100
S00098537,116
S00098538,125
S00098539,132
S00098540,115
S00098541,100
S00098542,67
S00098543,117
S00098544,56
S00098545,72
S00098546,113
S00098547,149
S00098548,130
S00098549,227
S00098550,52
S00098551,105
S00098552,187
S00098553,141
S00098554,119
S00098555,86
S00098556,136
S00098557,63
S00098558,92
S00098559,104
S00098560,141
S00098561,136
S00098562,94
S00098563,95
S00098564,111
S00098565,118
S00098566,69
S00098567,123
S00098568,126
S00098569,90
S00098570,95
S00098571,122
S00098572,113
S00098573,95
S00098574,110
S00098575,89
S00098576,82
S00098577,107
S00098578,80
S00098579,123
S00098580,159
S00098581,60
S00098582,92
S00098583,109
S00098584,100
S00098585,90
S00098586,66
S00098587,122
S00098588,75
S00098589,76
S00098590,96
S00098591,73
S00098592,116
S00098593,117
S00098594,103
S00098595,50
S00098596,117
S00098597,65
S00098598,64
S00098599,115
S00098600,102
S00098601,95
S00098602,117
S00098603,146
S00098604,120
S00098605,198
S00098606,102
S00098607,95
S00098608,178
S00098609,159
S00098610,83
S00098611,106
S00098612,105
S00098613,81
S00098614,58
S00098615,205
S00098616,145
S00098617,76
S00098618,69
S00098619,78
S00098620,135
S00098621,114
S00098622,52
S00098623,82
S00098624,98
S00098625,64
S00098626,121
S00098627,133
S00098628,106
S00098629,50
S00098630,76
S00098631,96
S00098632,122
S00098633,141
S00098634,150
S00098635,158
S00098636,137
S00098637,52
S00098638,123
S00098639,124
S00098640,162
S00098641,139
S00098642,138
S00098643,67
S00098644,111
S00098645,91
S00098646,110
S00098647,86
S00098648,76
S00098649,83
S00098650,166
S00098651,136
S00098652,114
S00098653,64
S00098654,143
S00098655,81
S00098656,157
S00098657,95
S00098658,91
S00098659,55
S00098660,72
S00098661,143
S00098662,130
S00098663,122
S00098664,66
S00098665,87
S00098666,74
S00098667,147
S00098668,128
S00098669,96
S00098670,88
S00098671,85
S00098672,110
S00098673,100
S00098674,79
S00098675,87
S00098676,56
S00098677,143
S00098678,148
S00098679,91
S00098680,103
S00098681,103
S00098682,294
S00098683,103
S00098684,119
S00098685,129
S00098686,101
S00098687,61
S00098688,90
S00098689,62
S00098690,92
S00098691,105
S00098692,55
S00098693,140
S00098694,111
S00098695,141
S00098696,150
S00098697,152
S00098698,72
S00098699,97
S00098700,129
S00098701,161
S00098702,126
S00098703,103
S00098704,93
S00098705,80
S00098706,116
S00098707,60
S00098708,184
S00098709,108
S00098710,65
S00098711,113
S00098712,105
S00098713,153
S00098714,190
S00098715,169
S00098716,98
S00098717,63
S00098718,137
S00098719,137
S00098720,67
S00098721,77
S00098722,141
S00098723,50
S00098724,92
S00098725,108
S00098726,123
S00098727,53
S00098728,143
S00098729,145
S00098730,96
S00098731,80
S00098732,99
S00098733,90
S00098734,116
S00098735,84
S00098736,248
S00098737,184
S00098738,101
S00098739,132
S00098740,85
S00098741,59
S00098742,70
S00098743,117
S00098744,65
S00098745,88
S00098746,77
S00098747,61
S00098748,52
S00098749,75
S00098750,72
S00098751,75
S00098752,104
S00098753,88
S00098754,69
S00098755,77
S00098756,88
S00098757,133
S00098758,77
S00098759,131
S00098760,180
S00098761,103
S00098762,145
S00098763,106
S00098764,95
S00098765,74
S00098766,92
S00098767,99
S00098768,75
S00098769,108
S00098770,92
S00098771,61
S00098772,77
S00098773,106
S00098774,109
S00098775,88
S00098776,99
S00098777,63
S00098778,70
S00098779,99
S00098780,118
S00098781,138
S00098782,146
S00098783,151
S00098784,75
S00098785,104
S00098786,93
S00098787,87
S00098788,68
S00098789,59
S00098790,118
S00098791,124
S00098792,118
S00098793,157
S00098794,147
S00098795,84
S00098796,80
S00098797,132
S00098798,73
S00098799,81
S00098800,79
S00098801,97
S00098802,82
S00098803,105
S00098804,111
S00098805,68
S00098806,79
S00098807,54
S00098808,72
S00098809,74
S00098810,58
S00098811,106
S00098812,89
S00098813,67
S00098814,122
S00098815,100
S00098816,100
S00098817,91
S00098818,145
S00098819,59
S00098820,68
S00098821,65
S00098822,91
S00098823,92
S00098824,62
S00098825,91
S00098826,115
S00098827,134
S00098828,168
S00098829,75
S00098830,72
S00098831,108
S00098832,84
S00098833,64
S00098834,55
S00098835,58
S00098836,64
S00098837,66
S00098838,105
S00098839,71
S00098840,91
S00098841,97
S00098842,118
S00098843,127
S00098844,164
S00098845,71
S00098846,75
S00098847,103
S00098848,99
S00098849,98
S00098850,81
S00098851,76
S00098852,52
S00098853,118
S00098854,76
S00098855,87
S00098856,54
S00098857,112
S00098858,80
S00098859,114
S00098860,92
S00098861,123
S00098862,103
S00098863,118
S00098864,102
S00098865,81
S00098866,100
S00098867,146
S00098868,166
S00098869,119
S00098870,55
S00098871,59
S00098872,114
S00098873,105
S00098874,109
S00098875,134
S00098876,93
S00098877,89
S00098878,128
S00098879,126
S00098880,111
S00098881,111
S00098882,109
S00098883,91
S00098884,122
S00098885,116
S00098886,88
S00098887,88
S00098888,115
S00098889,122
S00098890,112
S00098891,128
S00098892,95
S00098893,164
S00098894,107
S00098895,143
S00098896,128
S00098897,95
S00098898,84
S00098899,166
S00098900,125
S00098901,65
S00098902,99
S00098903,111
S00098904,106
S00098905,89
S00098906,136
S00098907,92
S00098908,123
S00098909,158
S00098910,123
S00098911,118
S00098912,86
S00098913,155
S00098914,109
S00098915,140
S00098916,134
S00098917,53
S00098918,83
S00098919,84
S00098920,149
S00098921,69
S00098922,89
S00098923,126
S00098924,108
S00098925,91
S00098926,107
S00098927,68
S00098928,120
S00098929,84
S00098930,101
S00098931,115
S00098932,89
S00098933,144
S00098934,121
S00098935,88
S00098936,117
S00098937,128
S00098938,103
S00098939,112
S00098940,116
S00098941,115
S00098942,85
S00098943,168
S00098944,167
S00098945,151
S00098946,82
S00098947,139
S00098948,101
S00098949,131
S00098950,64
S00098951,141
S00098952,92
S00098953,104
S00098954,146
S00098955,101
S00098956,119
S00098957,103
S00098958,277
S00098959,120
S00098960,99
S00098961,139
S00098962,131
S00098963,164
S00098964,128
S00098965,105
S00098966,105
S00098967,163
S00098968,123
S00098969,122
S00098970,125
S00098971,118
S00098972,140
S00098973,102
S00098974,174
S00098975,197
S00098976,94
S00098977,171
S00098978,75
S00098979,135
S00098980,85
S00098981,74
S00098982,60
S00098983,96
S00098984,118
S00098985,125
S00098986,63
S00098987,96
S00098988,129
S00098989,110
S00098990,196
S00098991,90
S00098992,168
S00098993,67
S00098994,73
S00098995,56
S00098996,90
S00098997,73
S00098998,97
S00098999,102
S00099000,115
S00099001,122
S00099002,71
S00099003,66
S00099004,62
S00099005,97
S00099006,106
S00099007,104
S00099008,136
S00099009,90
S00099010,75
S00099011,82
S00099012,61
S00099013,62
S00099014,81
S00099015,72
S00099016,74
S00099017,170
S00099018,147
S00099019,77
S00099020,50
S00099021,136
S00099022,65
S00099023,102
S00099024,77
S00099025,106
S00099026,95
S00099027,95
S00099028,96
S00099029,78
S00099030,89
S00099031,83
S00099032,238
S00099033,72
S00099034,100
S00099035,99
S00099036,127
S00099037,172
S00099038,99
S00099039,148
S00099040,159
S00099041,94
S00099042,173
S00099043,143
S00099044,106
S00099045,136
S00099046,121
S00099047,124
S00099048,139
S00099049,97
S00099050,115
S00099051,146
S00099052,112
S00099053,107
S00099054,123
S00099055,128
S00099056,73
S00099057,80
S00099058,85
S00099059,112
S00099060,85
S00099061,70
S00099062,92
S00099063,81
S00099064,59
S00099065,118
S00099066,61
S00099067,91
S00099068,105
S00099069,106
S00099070,91
S00099071,84
S00099072,107
S00099073,105
S00099074,134
S00099075,70
S00099076,111
S00099077,155
S00099078,103
S00099079,141
S00099080,113
S00099081,88
S00099082,77
S00099083,100
S00099084,65
S00099085,89
S00099086,73
S00099087,66
S00099088,105
S00099089,86
S00099090,114
S00099091,71
S00099092,146
S00099093,81
S00099094,109
S00099095,113
S00099096,56
S00099097,99
S00099098,61
S00099099,75
S00099100,159
S00099101,75
S00099102,169
S00099103,92
S00099104,125
S00099105,107
S00099106,98
S00099107,96
S00099108,174
S00099109,170
S00099110,135
S00099111,156
S00099112,100
S00099113,146
S00099114,133
S00099115,136
S00099116,130
S00099117,240
S00099118,136
S00099119,113
S00099120,117
S00099121,78
S00099122,87
S00099123,83
S00099124,91
S00099125,103
S00099126,60
S00099127,105
S00099128,64
S00099129,111
S00099130,161
S00099131,92
S00099132,67
S00099133,109
S00099134,85
S00099135,109
S00099136,57
S00099137,114
S00099138,87
S00099139,93
S00099140,80
S00099141,138
S00099142,85
S00099143,90
S00099144,123
S00099145,158
S00099146,119
S00099147,95
S00099148,87
S00099149,110
S00099150,161
S00099151,70
S00099152,102
S00099153,158
S00099154,88
S00099155,106
S00099156,154
S00099157,139
S00099158,134
S00099159,92
S00099160,66
S00099161,120
S00099162,99
S00099163,100
S00099164,182
S00099165,115
S00099166,161
S00099167,161
S00099168,185
S00099169,108
S00099170,113
S00099171,72
S00099172,53
S00099173,140
S00099174,54
S00099175,86
S00099176,123
S00099177,120
S00099178,103
S00099179,108
S00099180,89
S00099181,150
S00099182,79
S00099183,58
S00099184,121
S00099185,71
S00099186,91
S00099187,75
S00099188,122
S00099189,80
S00099190,79
S00099191,64
S00099192,137
S00099193,66
S00099194,75
S00099195,67
S00099196,66
S00099197,113
S00099198,74
S00099199,87
S00099200,69
S00099201,92
S00099202,86
S00099203,94
S00099204,102
S00099205,121
S00099206,102
S00099207,97
S00099208,130
S00099209,128
S00099210,149
S00099211,79
S00099212,56
S00099213,99
S00099214,168
S00099215,90
S00099216,116
S00099217,145
S00099218,129
S00099219,85
S00099220,102
S00099221,88
S00099222,156
S00099223,78
S00099224,98
S00099225,128
S00099226,87
S00099227,182
S00099228,135
S00099229,171
S00099230,144
S00099231,154
S00099232,173
S00099233,84
S00099234,154
S00099235,83
S00099236,137
S00099237,103
S00099238,113
S00099239,114
S00099240,109
S00099241,100
S00099242,197
S00099243,140
S00099244,115
S00099245,115
S00099246,128
S00099247,221
S00099248,119
S00099249,146
S00099250,91
S00099251,92
S00099252,80
S00099253,105
S00099254,123
S00099255,83
S00099256,163
S00099257,175
S00099258,141
S00099259,105
S00099260,135
S00099261,96
S00099262,141
S00099263,128
S00099264,93
S00099265,132
S00099266,88
S00099267,143
S00099268,151
S00099269,139
S00099270,130
S00099271,83
S00099272,157
S00099273,78
S00099274,133
S00099275,78
S00099276,98
S00099277,182
S00099278,120
S00099279,115
S00099280,157
S00099281,189
S00099282,138
S00099283,181
S00099284,133
S00099285,94
S00099286,135
S00099287,153
S00099288,73
S00099289,116
S00099290,77
S00099291,56
S00099292,120
S00099293,68
S00099294,102
S00099295,56
S00099296,95
S00099297,57
S00099298,91
S00099299,67
S00099300,106
S00099301,80
S00099302,128
S00099303,77
S00099304,79
S00099305,129
S00099306,68
S00099307,89
S00099308,86
S00099309,74
S00099310,105
S00099311,79
S00099312,124
S00099313,156
S00099314,124
S00099315,147
S00099316,114
S00099317,116
S00099318,105
S00099319,114
S00099320,148
S00099321,173
S00099322,138
S00099323,124
S00099324,125
S00099325,99
S00099326,75
S00099327,54
S00099328,88
S00099329,134
S00099330,84
S00099331,61
S00099332,85
S00099333,77
S00099334,97
S00099335,85
S00099336,83
S00099337,84
S00099338,117
S00099339,140
S00099340,128
S00099341,103
S00099342,98
S00099343,93
S00099344,95
S00099345,154
S00099346,56
S00099347,134
S00099348,114
S00099349,116
S00099350,117
S00099351,125
S00099352,111
S00099353,102
S00099354,87
S00099355,171
S00099356,156
S00099357,102
S00099358,59
S00099359,130
S00099360,116
S00099361,69
S00099362,150
S00099363,114
S00099364,70
S00099365,99
S00099366,64
S00099367,61
S00099368,119
S00099369,154
S00099370,118
S00099371,100
S00099372,131
S00099373,203
S00099374,139
S00099375,110
S00099376,159
S00099377,94
S00099378,116
S00099379,120
S00099380,135
S00099381,114
S00099382,127
S00099383,110
S00099384,99
S00099385,113
S00099386,147
S00099387,138
S00099388,131
S00099389,76
S00099390,147
S00099391,70
S00099392,105
S00099393,66
S00099394,106
S00099395,102
S00099396,85
S00099397,116
S00099398,221
S00099399,76
S00099400,145
S00099401,90
S00099402,96
S00099403,55
S00099404,108
S00099405,107
S00099406,127
S00099407,91
S00099408,103
S00099409,166
S00099410,70
S00099411,105
S00099412,71
S00099413,100
S00099414,56
S00099415,96
S00099416,79
S00099417,76
S00099418,169
S00099419,218
S00099420,77
S00099421,208
S00099422,156
S00099423,176
S00099424,94
S00099425,201
S00099426,68
S00099427,94
S00099428,88
S00099429,65
S00099430,89
S00099431,90
S00099432,52
S00099433,139
S00099434,82
S00099435,90
S00099436,78
S00099437,53
S00099438,69
S00099439,75
S00099440,115
S00099441,65
S00099442,94
S00099443,103
S00099444,137
S00099445,105
S00099446,61
S00099447,101
S00099448,61
S00099449,165
S00099450,73
S00099451,68
S00099452,91
S00099453,56
S00099454,64
S00099455,92
S00099456,50
S00099457,77
S00099458,175
S00099459,96
S00099460,64
S00099461,146
S00099462,55
S00099463,52
S00099464,89
S00099465,111
S00099466,65
S00099467,184
S00099468,212
S00099469,104
S00099470,59
S00099471,59
S00099472,179
S00099473,198
S00099474,144
S00099475,117
S00099476,56
S00099477,90
S00099478,91
S00099479,99
S00099480,98
S00099481,56
S00099482,81
S00099483,83
S00099484,98
S00099485,82
S00099486,131
S00099487,135
S00099488,99
S00099489,151
S00099490,163
S00099491,50
S00099492,88
S00099493,96
S00099494,81
S00099495,66
S00099496,92
S00099497,159
S00099498,125
S00099499,125
S00099500,63
S00099501,72
S00099502,127
S00099503,120
S00099504,130
S00099505,496
S00099506,69
S00099507,115
S00099508,54
S00099509,205
S00099510,82
S00099511,101
S00099512,59
S00099513,112
S00099514,80
S00099515,58
S00099516,117
S00099517,56
S00099518,59
S00099519,100
S00099520,56
S00099521,89
S00099522,89
S00099523,73
S00099524,116
S00099525,103
S00099526,88
S00099527,96
S00099528,227
S00099529,151
S00099530,170
S00099531,218
S00099532,207
S00099533,161
S00099534,145
S00099535,70
S00099536,107
S00099537,223
S00099538,92
S00099539,117
S00099540,62
S00099541,100
S00099542,143
S00099543,117
S00099544,92
S00099545,96
S00099546,147
S00099547,141
S00099548,115
S00099549,95
S00099550,145
S00099551,157
S00099552,121
S00099553,125
S00099554,98
S00099555,137
S00099556,86
S00099557,69
S00099558,127
S00099559,111
S00099560,109
S00099561,68
S00099562,75
S00099563,104
S00099564,91
S00099565,82
S00099566,63
S00099567,487
S00099568,136
S00099569,549
S00099570,100
S00099571,109
S00099572,152
S00099573,84
S00099574,74
S00099575,143
S00099576,130
S00099577,64
S00099578,114
S00099579,112
S00099580,120
S00099581,126
S00099582,75
S00099583,54
S00099584,80
S00099585,137
S00099586,117
S00099587,145
S00099588,185
S00099589,140
S00099590,109
S00099591,59
S00099592,91
S00099593,143
S00099594,80
S00099595,68
S00099596,64
S00099597,72
S00099598,115
S00099599,78
S00099600,67
S00099601,112
S00099602,79
S00099603,86
S00099604,56
S00099605,75
S00099606,85
S00099607,67
S00099608,150
S00099609,125
S00099610,88
S00099611,76
S00099612,65
S00099613,121
S00099614,82
S00099615,51
S00099616,67
S00099617,86
S00099618,61
S00099619,163
S00099620,120
S00099621,79
S00099622,133
S00099623,91
S00099624,59
S00099625,91
S00099626,70
S00099627,59
S00099628,166
S00099629,110
S00099630,59
S00099631,80
S00099632,52
S00099633,80
S00099634,112
S00099635,56
S00099636,91
S00099637,59
S00099638,66
S00099639,66
S00099640,98
S00099641,119
S00099642,141
S00099643,55
S00099644,108
S00099645,105
S00099646,94
S00099647,87
S00099648,74
S00099649,133
S00099650,123
S00099651,136
S00099652,92
S00099653,83
S00099654,130
S00099655,85
S00099656,114
S00099657,78
S00099658,78
S00099659,101
S00099660,115
S00099661,97
S00099662,98
S00099663,83
S00099664,94
S00099665,114
S00099666,58
S00099667,79
S00099668,87
S00099669,139
S00099670,127
S00099671,125
S00099672,82
S00099673,102
S00099674,113
S00099675,127
S00099676,131
S00099677,71
S00099678,54
S00099679,105
S00099680,70
S00099681,137
S00099682,169
S00099683,111
S00099684,166
S00099685,82
S00099686,106
S00099687,148
S00099688,75
S00099689,206
S00099690,166
S00099691,123
S00099692,120
S00099693,119
S00099694,74
S00099695,180
S00099696,102
S00099697,103
S00099698,157
S00099699,147
S00099700,141
S00099701,93
S00099702,126
S00099703,149
S00099704,95
S00099705,91
S00099706,159
S00099707,62
S00099708,130
S00099709,129
S00099710,70
S00099711,108
S00099712,100
S00099713,53
S00099714,92
S00099715,60
S00099716,79
S00099717,88
S00099718,71
S00099719,100
S00099720,73
S00099721,74
S00099722,151
S00099723,64
S00099724,113
S00099725,92
S00099726,60
S00099727,116
S00099728,155
S00099729,80
S00099730,67
S00099731,109
S00099732,161
S00099733,69
S00099734,120
S00099735,62
S00099736,190
S00099737,120
S00099738,80
S00099739,126
S00099740,129
S00099741,122
S00099742,128
S00099743,185
S00099744,152
S00099745,152
S00099746,165
S00099747,177
S00099748,122
S00099749,163
S00099750,133
S00099751,136
S00099752,108
S00099753,91
S00099754,73
S00099755,213
S00099756,95
S00099757,214
S00099758,59
S00099759,179
S00099760,119
S00099761,69
S00099762,64
S00099763,118
S00099764,137
S00099765,126
S00099766,97
S00099767,126
S00099768,123
S00099769,139
S00099770,134
S00099771,99
S00099772,67
S00099773,94
S00099774,57
S00099775,115
S00099776,84
S00099777,130
S00099778,155
S00099779,221
S00099780,93
S00099781,201
S00099782,"1,124"
S00099783,79
S00099784,69
S00099785,147
S00099786,221
S00099787,138
S00099788,143
S00099789,135
S00099790,180
S00099791,109
S00099792,89
S00099793,93
S00099794,114
S00099795,75
S00099796,132
S00099797,86
S00099798,90
S00099799,209
S00099800,117
S00099801,165
S00099802,111
S00099803,198
S00099804,148
S00099805,142
S00099806,154
S00099807,90
S00099808,61
S00099809,140
S00099810,81
S00099811,135
S00099812,81
S00099813,142
S00099814,95
S00099815,161
S00099816,90
S00099817,82
S00099818,103
S00099819,94
S00099820,115
S00099821,191
S00099822,64
S00099823,150
S00099824,191
S00099825,56
S00099826,144
S00099827,170
S00099828,139
S00099829,104
S00099830,231
S00099831,150
S00099832,193
S00099833,85
S00099834,100
S00099835,129
S00099836,108
S00099837,194
S00099838,148
S00099839,127
S00099840,103
S00099841,234
S00099842,111
S00099843,132
S00099844,144
S00099845,195
S00099846,82
S00099847,130
S00099848,118
S00099849,95
S00099850,79
S00099851,89
S00099852,104
S00099853,215
S00099854,63
S00099855,107
S00099856,60
S00099857,74
S00099858,101
S00099859,128
S00099860,121
S00099861,108
S00099862,89
S00099863,123
S00099864,52
S00099865,177
S00099866,136
S00099867,66
S00099868,151
S00099869,82
S00099870,94
S00099871,118
S00099872,99
S00099873,90
S00099874,132
S00099875,172
S00099876,148
S00099877,120
S00099878,116
S00099879,128
S00099880,128
S00099881,102
S00099882,129
S00099883,139
S00099884,140
S00099885,95
S00099886,82
S00099887,136
S00099888,119
S00099889,110
S00099890,111
S00099891,146
S00099892,110
S00099893,77
S00099894,77
S00099895,57
S00099896,99
S00099897,114
S00099898,119
S00099899,70
S00099900,113
S00099901,134
S00099902,92
S00099903,93
S00099904,68
S00099905,87
S00099906,94
S00099907,108
S00099908,71
S00099909,54
S00099910,91
S00099911,77
S00099912,92
S00099913,70
S00099914,105
S00099915,141
S00099916,100
S00099917,101
S00099918,129
S00099919,94
S00099920,100
S00099921,91
S00099922,103
S00099923,138
S00099924,74
S00099925,212
S00099926,136
S00099927,154
S00099928,84
S00099929,146
S00099930,203
S00099931,107
S00099932,139
S00099933,96
S00099934,170
S00099935,165
S00099936,86
S00099937,70
S00099938,134
S00099939,112
S00099940,122
S00099941,161
S00099942,115
S00099943,116
S00099944,118
S00099945,105
S00099946,132
S00099947,94
S00099948,107
S00099949,83
S00099950,138
S00099951,108
S00099952,135
S00099953,161
S00099954,108
S00099955,89
S00099956,55
S00099957,83
S00099958,135
S00099959,126
S00099960,90
S00099961,139
S00099962,153
S00099963,113
S00099964,126
S00099965,79
S00099966,107
S00099967,115
S00099968,136
S00099969,112
S00099970,183
S00099971,142
S00099972,147
S00099973,97
S00099974,73
S00099975,106
S00099976,105
S00099977,109
S00099978,87
S00099979,102
S00099980,119
S00099981,84
S00099982,77
S00099983,71
S00099984,83
S00099985,83
S00099986,109
S00099987,81
S00099988,94
S00099989,124
S00099990,97
S00099991,117
S00099992,80
S00099993,208
S00099994,72
S00099995,162
S00099996,93
S00099997,180
S00099998,157
S00099999,121
S00100000,99
S00100001,135
S00100002,109
S00100003,126
S00100004,165
S00100005,102
S00100006,81
S00100007,170
S00100008,119
S00100009,132
S00100010,135
S00100011,83
S00100012,103
S00100013,103
S00100014,87
S00100015,60
S00100016,108
S00100017,74
S00100018,153
S00100019,103
S00100020,136
S00100021,133
S00100022,117
S00100023,154
S00100024,118
S00100025,130
S00100026,122
S00100027,113
S00100028,120
S00100029,93
S00100030,117
S00100031,100
S00100032,130
S00100033,128
S00100034,109
S00100035,106
S00100036,89
S00100037,163
S00100038,60
S00100039,104
S00100040,109
S00100041,168
S00100042,69
S00100043,95
S00100044,121
S00100045,106
S00100046,94
S00100047,75
S00100048,87
S00100049,107
S00100050,59
S00100051,142
S00100052,128
S00100053,72
S00100054,100
S00100055,115
S00100056,80
S00100057,66
S00100058,123
S00100059,151
S00100060,92
S00100061,111
S00100062,118
S00100063,106
S00100064,104
S00100065,167
S00100066,99
S00100067,84
S00100068,87
S00100069,138
S00100070,87
S00100071,112
S00100072,125
S00100073,126
S00100074,160
S00100075,83
S00100076,81
S00100077,125
S00100078,128
S00100079,84
S00100080,84
S00100081,139
S00100082,131
S00100083,137
S00100084,156
S00100085,134
S00100086,140
S00100087,152
S00100088,122
S00100089,122
S00100090,105
S00100091,92
S00100092,167
S00100093,96
S00100094,124
S00100095,115
S00100096,116
S00100097,98
S00100098,104
S00100099,143
S00100100,93
S00100101,90
S00100102,89
S00100103,61
S00100104,124
S00100105,122
S00100106,137
S00100107,202
S00100108,136
S00100109,187
S00100110,104
S00100111,99
S00100112,129
S00100113,116
S00100114,93
S00100115,93
S00100116,101
S00100117,134
S00100118,102
S00100119,103
S00100120,126
S00100121,116
S00100122,92
S00100123,69
S00100124,121
S00100125,129
S00100126,66
S00100127,53
S00100128,109
S00100129,130
S00100130,87
S00100131,113
S00100132,72
S00100133,57
S00100134,93
S00100135,75
S00100136,83
S00100137,120
S00100138,165
S00100139,118
S00100140,131
S00100141,78
S00100142,96
S00100143,71
S00100144,110
S00100145,101
S00100146,76
S00100147,118
S00100148,62
S00100149,105
S00100150,133
S00100151,146
S00100152,74
S00100153,105
S00100154,81
S00100155,118
S00100156,88
S00100157,65
S00100158,101
S00100159,124
S00100160,117
S00100161,61
S00100162,167
S00100163,180
S00100164,119
S00100165,123
S00100166,75
S00100167,100
S00100168,106
S00100169,105
S00100170,83
S00100171,72
S00100172,55
S00100173,69
S00100174,89
S00100175,55
S00100176,73
S00100177,95
S00100178,96
S00100179,68
S00100180,79
S00100181,65
S00100182,160
S00100183,107
S00100184,103
S00100185,110
S00100186,99
S00100187,108
S00100188,124
S00100189,152
S00100190,86
S00100191,87
S00100192,123
S00100193,132
S00100194,93
S00100195,149
S00100196,169
S00100197,97
S00100198,116
S00100199,109
S00100200,136
S00100201,99
S00100202,96
S00100203,115
S00100204,132
S00100205,109
S00100206,111
S00100207,92
S00100208,99
S00100209,174
S00100210,150
S00100211,147
S00100212,112
S00100213,101
S00100214,115
S00100215,100
S00100216,124
S00100217,103
S00100218,109
S00100219,63
S00100220,116
S00100221,150
S00100222,105
S00100223,139
S00100224,142
S00100225,130
S00100226,110
S00100227,108
S00100228,93
S00100229,193
S00100230,88
S00100231,98
S00100232,84
S00100233,102
S00100234,124
S00100235,123
S00100236,137
S00100237,117
S00100238,141
S00100239,122
S00100240,106
S00100241,176
S00100242,153
S00100243,111
S00100244,87
S00100245,98
S00100246,122
S00100247,89
S00100248,113
S00100249,140
S00100250,109
S00100251,113
S00100252,140
S00100253,114
S00100254,92
S00100255,125
S00100256,57
S00100257,117
S00100258,66
S00100259,121
S00100260,73
S00100261,71
S00100262,173
S00100263,116
S00100264,102
S00100265,78
S00100266,141
S00100267,51
S00100268,119
S00100269,122
S00100270,81
S00100271,94
S00100272,100
S00100273,73
S00100274,122
S00100275,80
S00100276,103
S00100277,52
S00100278,86
S00100279,68
