"code","1911","1912","1913","1914","1915","1920","1922","1923","1990","1991","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"S00115209","0","0","0","0","0","0","0","0","0","0","0","0","6","3","11","4","11","4","8","4","3","3","5","3","2","3","1","1","0","4","0","3","0","0"
"S00115210","0","0","0","0","0","0","0","0","0","0","0","0","5","4","9","2","5","2","7","2","6","3","2","3","4","2","1","2","3","1","0","0","0","0"
"S00117407","0","0","0","0","0","0","0","0","0","0","0","0","6","5","2","4","3","2","4","4","5","13","4","1","2","6","2","1","2","3","5","1","3","0"
"S00117409","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","1","2","6","5","3","3","2","2","4","3","1","0","0","2","1","2","0","1","0"
"S00115236","0","0","0","0","0","0","0","0","0","0","0","0","10","20","7","10","14","2","10","8","17","17","10","10","8","3","4","3","0","1","2","8","5","0"
"S00117411","0","0","0","0","0","0","0","0","0","0","0","0","13","8","10","3","17","8","15","7","12","9","2","8","6","6","9","6","3","3","3","2","2","2"
"S00115234","0","0","0","0","0","0","0","0","0","0","0","0","15","18","9","11","21","4","7","8","9","19","4","2","10","10","12","5","5","2","6","4","3","0"
"S00115240","0","0","0","0","0","0","0","0","0","0","0","0","9","12","15","8","23","4","6","6","5","4","9","5","7","4","3","5","2","0","2","3","10","4"
"S00115233","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","5","1","5","1","4","0","2","6","4","1","2","1","2","2","0","2","3","3","1"
"S00115239","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","1","8","7","10","8","9","3","0","9","9","7","2","2","3","1","2","2","1","0"
"S00115238","0","0","0","0","0","0","0","0","0","0","0","0","3","3","7","5","6","4","2","3","5","8","0","4","13","3","1","3","1","2","1","0","3","1"
"S00115237","0","0","0","0","0","0","0","0","0","0","0","0","2","6","7","2","4","9","5","2","6","6","3","17","1","2","3","3","2","1","0","1","1","1"
