code,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p2015,p2016
S00115326,103.864977,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA
S00117135,71.421689,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA
S00113873,219.371418,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA
S00113729,125,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA
S00115325,101,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA
S00115996,69,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
S00112905,94,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA
S00116838,63,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA
S00112908,101,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA
S00112523,137,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,NA
S00113704,82,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
S00113278,87,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA
S00112901,93,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00115635,144,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA
S00115109,120,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
S00114674,76,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
S00114584,84,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA
S00114702,111,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA
S00114435,142,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
S00116209,118,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA
S00113660,124,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA
S00113442,172,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA
S00115705,80,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA
S00117428,138,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00116812,77,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00117426,170,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA
S00113480,82,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
S00112887,133,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA
S00114551,136.708329,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA
S00114552,56.291665,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA
S00116324,46.625765,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA
S00116318,35.664622,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA
S00116317,35.173824,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA
S00116319,33.537833,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA
S00116322,21.768,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA
S00116323,20.28,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA
S00116320,18.648,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA
S00116325,10.143149,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA
S00116316,9.984,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
S00116321,8.184,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
S00116116,14.703317,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA
S00116115,13.214373,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA
S00116117,12.718058,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA
S00116112,10.794841,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA
S00116110,10.298526,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA
S00116114,7.8174,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA
S00116111,7.6962,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA
S00116113,7.3831,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA
S00116119,5.3934,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA
S00116118,5.0298,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA
S00115776,115.63217,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA,NA
S00115216,116.8584,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA
S00114866,107,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA
S00115395,245,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA
S00116611,40.022626,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA
S00116612,33.398192,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA
S00116613,24.565611,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA
S00116614,24.013575,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA
S00112994,115,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
S00113929,114.0826,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
S00115981,83.052456,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA
S00115982,45.072544,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA
S00115985,41.183034,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA
S00115984,30.887278,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA
S00114109,105.804688,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA
S00114111,95.41989,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
S00117223,189.142853,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA
S00112886,104,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
S00114525,82,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA
S00112810,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
S00117205,106,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA
S00113479,117,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00112889,105,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA
S00112885,90,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA
S00114549,57.738462,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA
S00115111,112,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
S00117204,146,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA
S00114199,73,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA
S00116717,81,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA
S00117325,117,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA
S00112473,91,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00112197,96,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA
S00112410,118,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
S00112570,82,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA
S00115091,91,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00115097,103,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA
S00112603,134,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA
S00112587,143,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
S00115144,99.268567,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
S00115143,72.731428,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA
S00116514,75,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA
S00116236,156.494736,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
S00114583,77,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
S00114428,80,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
S00114434,176,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA
S00115717,95,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA
S00116553,81,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00115145,150,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA
S00115147,112,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA
S00115730,197,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA
S00115064,139,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
S00115153,109,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA
S00117604,79,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA
S00112746,136,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA
S00115306,99,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA
S00114561,107,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA
S00116226,93,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA
S00114563,126,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA
S00116361,58,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
S00113232,82,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA
S00115980,54,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
S00112458,85,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA
S00115797,69,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA
S00112491,80,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
S00115798,68,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA
S00113864,104,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
S00116508,86,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA
S00114234,113,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA
S00116506,92,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA
S00116505,95,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA
S00115788,132,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA
S00115660,237,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA
S00116507,128,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA
S00116045,159,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA
S00116425,139.32,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA
S00117389,75,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA
S00116536,69,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA
S00115565,124,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA
S00117485,93,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00115614,127,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA
S00115647,124,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA
S00113156,94,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00115540,103,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA
S00114232,97,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00117421,74,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA
S00115836,118,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA
S00115835,175,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA
S00115496,75,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
S00116085,94,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA
S00113681,76,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA
S00116438,103,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
S00116440,129,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA
S00115799,162,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA
S00115801,172,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA
S00116330,168,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA
S00115766,156,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA
S00115760,64.840523,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA
S00115761,47.549716,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA
S00115759,16.21013,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
S00115767,187.873189,NA,NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA
S00115763,170,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00116295,58,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA
S00116436,101,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA
S00117615,210,NA,NA,NA,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA
S00115800,179,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA
S00115765,179,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA
S00116302,145,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA
S00115770,134,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA
S00116301,108,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA
S00116307,103,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA
S00117616,292,NA,NA,NA,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA
S00117617,176,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA
S00116332,136,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA
S00116331,130,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA
S00116304,181.802754,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA
S00116303,16.3056,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA
S00115764,121,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA
S00116306,129,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA
S00116305,142,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA
S00115769,119,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA
S00115768,71.416338,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA
S00115775,112.661875,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA
S00117501,102,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA
S00115990,126,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA
S00115772,139.366663,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA
S00115771,82.633331,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA
S00115777,132.796461,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA
S00115773,84.999997,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA
S00115774,49.999999,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
S00116308,122,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA
S00117499,102,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA
S00117327,75,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA
S00116247,195,NA,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA
S00117422,96,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00115234,102,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA
S00115235,80,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA
S00115214,161,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA
S00115233,126,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
S00115236,97,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA
S00117498,98,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA
S00117500,134,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA
S00117497,150,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA
S00117502,140,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA
S00115252,93,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA
S00117407,233,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA
S00116248,65,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA
S00117408,59,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA
S00115215,120,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA
S00117410,86,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA
S00117406,97,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA
S00117405,159,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
S00115209,169,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA
S00117409,131,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA
S00115210,164,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
S00115211,127,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA
