"code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"E00047649","0","7","22","3","16","42","16","6","40","18","9","12","20","6","15","17","11"
"E00046747","0","9","12","6","12","18","9","8","3","20","10","9","6","6","12","3","3"
"E00045306","0","0","0","0","1","6","0","6","3","6","0","0","0","0","6","3","6"
"E00047414","0","1","14","16","39","31","4","12","15","19","10","7","16","22","9","12","1"
"E00047578","0","12","12","12","21","6","0","31","16","14","25","3","6","3","6","6","1"
"E00046761","0","0","3","0","1","3","6","0","3","9","5","0","3","0","0","6","0"
"E00046379","0","142","181","243","323","339","210","231","184","121","103","108","205","82","173","180","65"
"E00047805","0","0","11","20","4","10","0","9","12","7","0","17","0","0","9","6","0"
"E00047443","0","0","18","50","51","48","18","24","47","55","26","49","44","9","46","17","14"
"E00046535","0","10","14","44","25","13","24","36","39","12","12","18","23","25","20","6","0"
"E00046855","0","14","52","54","51","67","21","15","43","30","32","20","26","40","32","41","30"
"E00175621","0","44","36","74","100","78","63","92","67","54","56","57","30","98","69","93","12"
"E00047103","0","6","23","13","9","17","6","26","9","15","18","6","11","15","9","2","3"
"E00175708","0","3","6","27","23","42","27","22","10","10","6","23","29","9","3","37","17"
"E00045179","0","9","56","21","38","19","9","31","39","29","20","31","9","12","3","4","3"
"E00046287","0","14","27","48","24","46","17","32","34","18","14","6","6","26","3","28","0"
"E00045944","0","0","32","27","37","49","13","6","27","14","29","6","14","23","17","20","2"
"E00046558","0","1","3","11","6","26","24","13","6","0","3","0","0","0","3","3","0"
"E00046660","0","109","159","124","173","245","150","189","170","86","116","80","132","187","180","129","33"
"E00048034","0","0","11","13","23","30","25","19","52","40","12","30","4","33","17","0","0"
"E00045681","0","44","59","83","123","135","99","154","76","71","117","61","59","67","51","66","26"
"E00048063","0","0","3","0","7","4","3","3","22","0","1","4","16","0","14","12","6"
"E00047535","0","3","21","27","34","45","20","35","18","38","23","15","27","18","39","70","6"
"E00047344","0","3","15","3","12","25","0","21","13","0","12","14","29","12","3","4","3"
"E00045079","0","8","12","13","19","13","11","13","6","12","28","0","4","12","31","23","0"
"E00045943","0","5","59","36","10","85","7","31","27","18","18","15","3","11","3","36","0"
"E00045187","0","15","38","3","6","27","9","3","3","35","9","3","6","11","0","3","0"
"E00175786","0","8","18","23","22","44","36","15","17","6","9","10","0","6","0","9","3"
"E00175647","0","55","242","432","499","524","334","421","340","155","275","327","349","304","279","276","71"
"E00045244","0","31","16","32","23","43","9","6","6","6","8","3","20","1","12","12","3"
"E00046227","0","16","26","15","38","22","9","18","18","12","3","0","6","0","11","0","3"
"E00047539","0","14","12","26","16","31","7","4","6","14","0","3","0","0","0","11","0"
"E00048166","0","12","28","61","66","42","20","12","3","10","3","6","0","3","0","3","0"
"E00045919","0","11","0","9","9","3","15","18","9","6","3","3","0","0","2","6","0"
"E00046406","0","1","7","7","14","35","7","12","17","17","24","3","3","3","9","3","0"
"E00175803","0","14","24","25","55","18","24","13","16","12","24","3","3","11","17","0","0"
"E00045936","0","27","40","25","46","58","31","7","16","16","15","29","18","20","3","3","17"
"E00045212","0","6","31","53","50","35","56","62","82","49","30","9","29","13","19","28","3"
"E00175682","0","20","17","21","33","12","10","21","8","18","9","15","9","14","1","6","3"
"E00045810","0","6","7","0","9","10","10","3","6","0","13","3","3","0","3","12","3"
"E00046008","0","20","65","27","60","48","42","30","15","23","6","12","12","0","9","13","3"
"E00045947","0","9","38","31","28","54","42","112","55","47","28","19","46","13","43","57","0"
"E00048047","0","1","15","9","21","39","16","15","18","25","29","17","11","29","23","3","6"
"E00045197","0","3","12","3","31","30","34","10","20","20","3","26","9","20","6","3","0"
"E00045294","0","10","28","51","22","36","20","22","16","16","48","9","9","36","9","7","3"
"E00046977","0","3","12","18","31","4","10","10","18","21","10","8","14","6","25","9","14"
"E00047324","0","12","33","17","6","9","5","12","13","18","1","3","1","3","17","3","0"
"E00046677","0","1","3","3","3","0","0","7","0","0","9","6","6","4","9","6","0"
"E00046075","0","5","8","13","16","18","9","15","10","9","6","3","1","6","3","11","0"
"E00045221","0","7","4","6","9","10","12","10","3","0","4","0","6","6","3","0","3"
"E00046550","0","0","19","19","6","23","3","10","10","3","0","3","8","3","6","0","0"
"E00046316","0","6","9","23","16","16","0","7","12","6","4","6","3","0","15","14","3"
"E00047606","0","0","20","7","13","6","0","13","12","4","1","6","0","0","3","8","0"
"E00046630","0","12","41","46","31","45","30","38","48","23","17","10","26","11","23","15","11"
"E00047583","0","11","9","14","0","13","12","18","3","0","3","9","0","3","8","3","0"
"E00045236","0","5","48","40","58","26","11","63","39","32","58","26","10","11","32","10","14"
"E00046527","0","7","10","16","15","15","7","21","23","12","20","21","6","17","3","0","0"
"E00045396","0","7","10","53","6","15","25","12","31","20","9","10","9","3","7","3","0"
"E00047181","0","0","6","3","6","22","3","9","11","6","3","0","9","1","3","9","0"
"E00046514","0","9","56","54","19","69","30","33","21","35","4","31","29","18","6","12","6"
"E00046198","0","8","12","9","3","10","18","7","4","7","9","6","14","8","23","0","0"
"E00046754","0","6","6","10","22","19","19","19","13","6","14","0","3","3","8","4","0"
"E00045233","0","27","81","46","48","54","35","34","12","12","39","24","3","9","10","4","0"
"E00046244","0","0","19","9","44","25","6","0","19","14","6","0","0","6","13","14","0"
"E00047410","0","5","13","9","13","29","10","9","16","21","23","20","1","12","6","18","0"
"E00046928","0","4","9","7","0","0","0","3","18","3","14","6","3","0","15","0","0"
